Driver_ID,Total_Trips,Total_Minutes,Total_Hard_Brakes,Total_Harsh_Accel,Total_Harsh_Corner,Total_High_Speed_Mins,Hard_Braking_Rate,Harsh_Accel_Rate,Harsh_Corner_Rate,High_Speed_Ratio,Braking_Subscore,Accel_Subscore,Corner_Subscore,Speed_Subscore,Driver_Risk_Score,Risk_Classification,Driver_Name,Age,License_Experience_Years
D12,15,360,28,28,24,42,7.777777777777778,7.777777777777778,6.666666666666667,0.11666666666666667,65.06310468347226,66.62354728758572,84.34404656597758,64.4216566420201,69.26,Risky,Praveen Murugan,44,7
D13,15,431,24,15,26,34,5.56844547563805,3.480278422273782,6.0324825986078885,0.07888631090487239,46.581473687868765,29.811663519469917,76.32059898081498,43.55988715602287,46.89,Risky,Meena Kannan,39,14
D14,15,426,53,50,27,75,12.44131455399061,11.737089201877934,6.338028169014084,0.176056338028169,100.0,100.0,80.18624145357023,97.21577964087538,95.48,Risky,Rajesh Subramaniam,31,2
D15,15,479,19,20,34,26,3.966597077244259,4.175365344467641,7.09812108559499,0.054279749478079335,33.181601255215504,35.765697917582564,89.80263830615567,29.972497572785965,44.64,Risky,Meena Velu,24,7
D16,15,459,9,12,17,0,1.9607843137254901,2.6143790849673203,3.7037037037037033,0.0,16.402463365581244,22.394469676499405,46.857803647765316,0.0,21.01,Safe,Sathish Chandran,34,7
D17,15,438,14,16,22,32,3.1963470319634704,3.65296803652968,5.0228310502283104,0.0730593607305936,26.73826219868723,31.290902835656702,63.54688439902421,40.342329012615316,38.19,Moderate,Arun Subramaniam,32,11
D18,15,400,4,6,12,1,1.0,1.5,3.0,0.0025,8.365256316446434,12.848826976891534,37.95482095468991,1.3804640709004308,14.23,Safe,Revathi Raj,35,9
D19,15,338,41,30,28,64,12.1301775147929,8.875739644970414,8.284023668639055,0.1893491124260355,100.0,76.02856199344103,100.0,100.0,92.81,Risky,Senthil Pillai,39,1
D20,15,380,12,11,21,16,3.1578947368421053,2.8947368421052633,5.526315789473684,0.042105263157894736,26.41659889404137,24.795981885229278,69.91677544284983,23.249921194112513,34.0,Moderate,Sathish Iyer,24,3
D21,15,472,13,22,24,28,2.754237288135593,4.661016949152542,5.084745762711865,0.059322033898305086,23.039900871568566,39.92573354401324,64.33020500794902,32.756774563739036,38.31,Moderate,Vignesh Raj,28,13
D22,15,458,9,7,10,1,1.9650655021834063,1.5283842794759825,2.1834061135371177,0.002183406113537118,16.43827660437072,13.091963440791957,27.623596036892216,1.2056454767689349,14.62,Safe,Priya Iyer,35,3
D23,15,457,50,53,34,73,10.940919037199125,11.597374179431071,7.439824945295405,0.15973741794310722,91.52359208365901,99.34176947851951,94.12574124430759,88.20470649954612,93.73,Risky,Kavya Pillai,32,11
D24,15,460,54,53,30,85,11.73913043478261,11.521739130434783,6.521739130434782,0.18478260869565216,98.2008350191538,98.69388837322484,82.51048033628241,100.0,95.57,Risky,Lakshmi Iyer,32,3
D25,15,439,16,16,28,30,3.644646924829157,3.644646924829157,6.378132118451026,0.0683371298405467,30.48840570914418,31.219625152659763,80.69362086038858,37.73478098133295,42.2,Moderate,Deepa Pillai,40,4
D26,15,419,16,18,15,9,3.8186157517899764,4.295942720763723,3.579952267303103,0.021479713603818614,31.943699537742948,36.79854981448649,45.292149110608484,11.860789153321122,32.05,Moderate,Anitha Chandran,31,6
D27,15,366,11,14,18,14,3.0054644808743167,3.825136612021858,4.918032786885246,0.03825136612021858,25.14148073248928,32.765678993894625,62.22101795850805,21.1218546367279,34.04,Moderate,Arun Chandran,34,2
D28,15,400,7,6,13,2,1.7500000000000002,1.5,3.25,0.005,14.63919855378126,12.848826976891534,41.11772270091407,2.7609281418008615,17.02,Safe,Praveen Iyer,37,4
D29,15,442,11,14,10,6,2.48868778280543,3.167420814479638,2.262443438914027,0.013574660633484163,20.818511194776192,27.13176133883582,28.623545214698275,7.495732511676547,21.61,Safe,Rajesh Subramaniam,43,11
D30,15,474,20,21,17,17,4.219409282700422,4.430379746835443,3.5864978902953584,0.035864978902953586,35.29644015378242,37.95012187267541,45.374961760177804,19.804125911651745,35.01,Moderate,Gokul Velu,26,2
